BMS老化测试详细判定报表

基本信息
通道号,33
货架号,01-C01
主机条码,3333
从机1条码,111
从机2条码,222
从机3条码,333
测试配方,DJ2513_Aging
测试开始时间,2026-06-03 17:56:32
测试结束时间,2026-06-03 18:00:35
测试总判定,NG

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
HSD_OUTPUT6（L）,V,0.0,0.3,0.0,PASS,0.65,2026-06-03 17:58:00
HSD_OUTPUT6_CS（L）,V,0.0,0.05,0.004,PASS,0.05,2026-06-03 17:58:00
HSD_OUTPUT6（H）,V,10.5,12.5,11.652,PASS,1.12,2026-06-03 17:58:01
HSD_OUTPUT6_CS（H）,V,0.35,0.5,0.433,PASS,0.61,2026-06-03 17:58:02
HSD_OUTPUT7（L）,V,0.0,0.1,0.0,PASS,0.61,2026-06-03 17:58:03
HSD_OUTPUT7（H）,V,10.5,12.5,11.287,PASS,1.11,2026-06-03 17:58:04
HSD_OUTPUT7_CS（H）,V,0.7,0.9,0.807,PASS,0.64,2026-06-03 17:58:04
HSD_OUTPUT8（L）,V,0.0,0.1,0.0,PASS,0.63,2026-06-03 17:58:05
HSD_OUTPUT8（H）,V,10.5,12.5,11.652,PASS,1.12,2026-06-03 17:58:06
HSD_OUTPUT8_CS（H）,V,0.35,0.5,0.42,PASS,0.61,2026-06-03 17:58:07
LSD_OUTPUT1（L）,V,2.6,3.0,2.96,PASS,0.93,2026-06-03 17:58:08
LSD_OUTPUT1（H）,V,0.0,0.3,0.039,PASS,2.74,2026-06-03 17:58:10
LSD_OUTPUT2（L）,V,2.6,3.0,2.973,PASS,0.96,2026-06-03 17:58:11
LSD_OUTPUT2（H）,V,0.0,0.3,0.019,PASS,2.45,2026-06-03 17:58:14
LSD_OUTPUT3（L）,V,2.6,3.0,2.986,PASS,0.98,2026-06-03 17:58:15
LSD_OUTPUT3（H）,V,0.0,0.3,0.039,PASS,2.73,2026-06-03 17:58:18
LSD_OUTPUT4（L）,V,2.6,3.0,2.98,PASS,0.99,2026-06-03 17:58:19
LSD_OUTPUT4（H）,V,0.0,0.3,0.026,PASS,2.72,2026-06-03 17:58:21
@高压源控制-100V,V,99.0,101.0,100.0574,PASS,7.74,2026-06-03 17:58:29
高压1测试-100V,V,99.0,101.0,100.077,PASS,0.06,2026-06-03 17:58:29
高压2测试-100V,V,99.0,101.0,100.077,PASS,1.27,2026-06-03 17:58:30
高压3测试-100V,V,99.0,101.0,99.621,PASS,0.05,2026-06-03 17:58:30
@高压源控制-750V,V,749.0,751.0,750.4338,PASS,4.07,2026-06-03 17:58:35
高压1测试-750V,V,749.0,751.0,749.819,PASS,0.06,2026-06-03 17:58:35
高压2测试-750V,V,749.0,751.0,749.971,PASS,0.06,2026-06-03 17:58:35
高压3测试-750V,V,749.0,751.0,749.325,PASS,0.06,2026-06-03 17:58:35
@高压源控制-650V,V,649.0,651.0,650.0194,PASS,4.12,2026-06-03 17:58:39
绝缘采集测试-正极1MΩ,KΩ,800.0,1200.0,1049.9kΩ,PASS,92.91,2026-06-03 18:00:12
绝缘采集测试-负极30KΩ,KΩ,25.0,35.0,31.5kΩ,PASS,0.07,2026-06-03 18:00:12
@高压源控制-0V,V,0.0,1.0,0.5598,PASS,3.61,2026-06-03 18:00:15
快充口绝缘阻抗-100KΩ,Ω,80000.0,120000.0,91457.0,PASS,3.10,2026-06-03 18:00:19
快充口绝缘阻抗-500KΩ,Ω,425000.0,575000.0,492223.0,PASS,2.69,2026-06-03 18:00:21
第一路负极粘连检测-无效,V,4.9,5.02,4.989,PASS,2.06,2026-06-03 18:00:23
第一路负极粘连检测-有效,V,1.8,2.0,1.895,PASS,2.69,2026-06-03 18:00:26
第二路负极粘连检测-无效,V,4.9,5.02,4.998,PASS,2.08,2026-06-03 18:00:28
第二路负极粘连检测-有效,V,1.8,2.0,1.904,PASS,2.68,2026-06-03 18:00:31
CA550输出-2.5V,V,2.49,2.51,0.0,NG,4.04,2026-06-03 18:00:35
