BMS老化测试详细判定报表

基本信息
通道号,1
货架号,01-A01
主机条码,1111
从机1条码,222
从机2条码,333
从机3条码,444
测试配方,DJ2513_Aging
测试开始时间,2026-06-03 17:56:31
测试结束时间,2026-06-03 18:00:39
测试总判定,NG

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
HSD_OUTPUT4_CS（HH）,V,0.35,0.5,0.428,PASS,1.19,2026-06-03 17:57:57
HSD_OUTPUT5（L）,V,0.0,0.3,0.0,PASS,1.13,2026-06-03 17:57:58
HSD_OUTPUT5_CS（L）,V,0.0,0.05,0.006,PASS,0.04,2026-06-03 17:57:58
HSD_OUTPUT5（H）,V,10.5,12.5,11.016,PASS,1.11,2026-06-03 17:57:59
HSD_OUTPUT5_CS（H）,V,0.65,0.85,0.798,PASS,0.59,2026-06-03 17:58:00
HSD_OUTPUT6（L）,V,0.0,0.3,0.0,PASS,0.65,2026-06-03 17:58:00
HSD_OUTPUT6_CS（L）,V,0.0,0.05,0.006,PASS,0.06,2026-06-03 17:58:00
HSD_OUTPUT6（H）,V,10.5,12.5,11.429,PASS,1.11,2026-06-03 17:58:01
HSD_OUTPUT6_CS（H）,V,0.35,0.5,0.428,PASS,0.61,2026-06-03 17:58:02
HSD_OUTPUT7（L）,V,0.0,0.1,0.006,PASS,0.59,2026-06-03 17:58:03
HSD_OUTPUT7（H）,V,10.5,12.5,11.036,PASS,1.12,2026-06-03 17:58:04
HSD_OUTPUT7_CS（H）,V,0.7,0.9,0.789,PASS,0.61,2026-06-03 17:58:04
HSD_OUTPUT8（L）,V,0.0,0.1,0.0,PASS,0.60,2026-06-03 17:58:05
HSD_OUTPUT8（H）,V,10.5,12.5,11.497,PASS,1.11,2026-06-03 17:58:06
HSD_OUTPUT8_CS（H）,V,0.35,0.5,0.426,PASS,0.61,2026-06-03 17:58:07
LSD_OUTPUT1（L）,V,2.6,3.0,2.96,PASS,0.97,2026-06-03 17:58:08
LSD_OUTPUT1（H）,V,0.0,0.3,0.039,PASS,2.70,2026-06-03 17:58:10
LSD_OUTPUT2（L）,V,2.6,3.0,2.947,PASS,0.98,2026-06-03 17:58:11
LSD_OUTPUT2（H）,V,0.0,0.3,0.026,PASS,2.40,2026-06-03 17:58:14
LSD_OUTPUT3（L）,V,2.6,3.0,2.953,PASS,0.96,2026-06-03 17:58:15
LSD_OUTPUT3（H）,V,0.0,0.3,0.039,PASS,3.89,2026-06-03 17:58:19
LSD_OUTPUT4（L）,V,2.6,3.0,2.94,PASS,0.99,2026-06-03 17:58:20
LSD_OUTPUT4（H）,V,0.0,0.3,0.026,PASS,2.73,2026-06-03 17:58:22
@高压源控制-100V,V,99.0,101.0,100.0574,PASS,6.80,2026-06-03 17:58:29
高压1测试-100V,V,99.0,101.0,100.039,PASS,0.06,2026-06-03 17:58:29
高压2测试-100V,V,99.0,101.0,99.773,PASS,0.05,2026-06-03 17:58:29
高压3测试-100V,V,99.0,101.0,99.279,PASS,0.05,2026-06-03 17:58:29
@高压源控制-750V,V,749.0,751.0,750.4338,PASS,5.32,2026-06-03 17:58:35
高压1测试-750V,V,749.0,751.0,749.971,PASS,0.05,2026-06-03 17:58:35
高压2测试-750V,V,749.0,751.0,749.629,PASS,0.05,2026-06-03 17:58:35
高压3测试-750V,V,749.0,751.0,749.211,PASS,0.07,2026-06-03 17:58:35
@高压源控制-650V,V,649.0,651.0,650.0194,PASS,4.12,2026-06-03 17:58:39
绝缘采集测试-正极1MΩ,KΩ,800.0,1200.0,1032.8kΩ,PASS,92.92,2026-06-03 18:00:12
绝缘采集测试-负极30KΩ,KΩ,25.0,35.0,31.1kΩ,PASS,0.05,2026-06-03 18:00:12
@高压源控制-0V,V,0.0,1.0,0.5598,PASS,3.56,2026-06-03 18:00:15
快充口绝缘阻抗-100KΩ,Ω,80000.0,120000.0,91558.0,PASS,4.34,2026-06-03 18:00:20
快充口绝缘阻抗-500KΩ,Ω,425000.0,575000.0,457787.0,PASS,2.67,2026-06-03 18:00:22
第一路负极粘连检测-无效,V,4.9,5.02,4.988,PASS,2.06,2026-06-03 18:00:24
第一路负极粘连检测-有效,V,1.8,2.0,1.891,PASS,2.66,2026-06-03 18:00:27
第二路负极粘连检测-无效,V,4.9,5.02,4.997,PASS,3.25,2026-06-03 18:00:30
第二路负极粘连检测-有效,V,1.8,2.0,1.901,PASS,2.66,2026-06-03 18:00:33
CA550输出-2.5V,V,2.49,2.51,0.0,NG,5.87,2026-06-03 18:00:39
